City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
164,Ndago,TZ,2021-04-04 04:54:29,-4.6,34.35,63.34,86,61,6.24,broken clouds
165,Mount Gambier,AU,2021-04-04 04:54:29,-37.8333,140.7667,68.0,60,4,18.41,clear sky
166,Jerusalem,IL,2021-04-04 04:50:12,31.769,35.2163,46.99,92,0,1.88,clear sky
167,Fairbanks,US,2021-04-04 04:53:21,64.8378,-147.7164,30.0,100,90,5.75,mist
168,Romitan,UZ,2021-04-04 04:54:30,39.9343,64.3814,53.6,87,75,11.5,light rain
169,Ananas,HT,2021-04-04 04:54:30,19.2466,-71.9557,66.02,95,39,4.09,scattered clouds
170,Kodiak,US,2021-04-04 04:47:29,57.79,-152.4072,44.6,65,1,0.65,clear sky
171,Kahului,US,2021-04-04 04:45:39,20.8947,-156.47,73.4,83,40,17.27,light rain
172,Ballitoville,ZA,2021-04-04 04:54:31,-29.539,31.2144,64.99,94,0,3.44,clear sky
173,Cao Bang,VN,2021-04-04 04:54:31,22.6667,106.25,72.99,91,97,4.23,overcast clouds
174,Cabo San Lucas,MX,2021-04-04 04:46:54,22.8909,-109.9124,72.0,56,87,7.47,overcast clouds
175,Geraldton,AU,2021-04-04 04:47:39,-28.7667,114.6,89.6,35,22,14.97,few clouds
176,Los Llanos De Aridane,ES,2021-04-04 04:47:47,28.6585,-17.9182,64.4,68,75,6.91,broken clouds
177,Saint George,US,2021-04-04 04:47:39,37.1041,-113.5841,70.0,16,1,4.61,clear sky
178,Morondava,MG,2021-04-04 04:54:32,-20.2833,44.2833,77.14,75,0,4.92,clear sky
179,Nome,US,2021-04-04 04:53:45,64.5011,-165.4064,21.2,93,90,4.61,snow
180,Eureka,US,2021-04-04 04:54:33,40.8021,-124.1637,50.0,80,100,4.0,overcast clouds
181,Tasiilaq,GL,2021-04-04 04:48:02,65.6145,-37.6368,15.8,48,1,6.91,clear sky
182,Chabahar,IR,2021-04-04 04:54:33,25.2919,60.643,84.27,53,3,1.34,clear sky
183,Hovd,MN,2021-04-04 04:54:33,48.0056,91.6419,40.26,18,2,5.48,clear sky
184,Airai,TL,2021-04-04 04:47:34,-8.9266,125.4092,61.54,94,100,6.89,overcast clouds
185,San Quintin,MX,2021-04-04 04:54:34,30.4833,-115.95,59.14,83,12,11.74,few clouds
186,Sangolqui,EC,2021-04-04 04:54:34,-0.3341,-78.4522,57.2,94,90,3.44,mist
187,Vostok,RU,2021-04-04 04:54:35,46.4856,135.8833,37.17,37,90,10.56,overcast clouds
188,Mount Pleasant,US,2021-04-04 04:53:42,32.7941,-79.8626,44.01,100,1,4.72,clear sky
189,Provideniya,RU,2021-04-04 04:47:51,64.3833,-173.3,7.75,88,100,3.0,overcast clouds
190,Saint-Leu,RE,2021-04-04 04:54:35,-21.15,55.2833,86.0,54,0,3.44,clear sky
191,Namibe,AO,2021-04-04 04:43:52,-15.1961,12.1522,76.69,83,64,4.18,broken clouds
192,Russkaya Polyana,UA,2021-04-04 04:54:36,49.417,31.9201,42.06,64,100,3.24,overcast clouds
193,Filingue,NE,2021-04-04 04:54:36,14.3521,3.3168,72.72,10,0,8.61,clear sky
194,Klaksvik,FO,2021-04-04 04:48:06,62.2266,-6.589,44.6,93,90,28.77,light intensity drizzle
195,Eldorado,BR,2021-04-04 04:54:36,-23.7869,-54.2836,68.47,73,74,4.83,broken clouds
196,Preobrazheniye,RU,2021-04-04 04:54:37,42.9019,133.9064,45.63,36,42,2.26,scattered clouds
197,Kirakira,SB,2021-04-04 04:48:18,-10.4544,161.9205,85.5,74,73,9.91,broken clouds
