City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Mpika,ZM,2021-04-01 04:32:12,-11.8343,31.4529,60.55,94,98,8.1
223,Beringovskiy,RU,2021-04-01 04:32:43,63.05,179.3167,9.46,88,56,6.08
224,Kamina,CD,2021-04-01 04:32:43,-8.7386,24.9906,63.41,97,84,2.28
225,Banda Aceh,ID,2021-04-01 04:28:02,5.5577,95.3222,81.99,73,100,18.14
226,Taksimo,RU,2021-04-01 04:32:44,56.3444,114.8794,25.79,77,55,2.53
227,Katherine,AU,2021-04-01 04:30:43,-14.4667,132.2667,91.4,31,100,9.22
228,Sisimiut,GL,2021-04-01 04:32:44,66.9395,-53.6735,26.15,74,100,23.47
229,Pregassona,CH,2021-04-01 04:32:45,46.0202,8.9743,54.0,87,0,4.61
230,Kafue,ZM,2021-04-01 04:32:45,-15.7691,28.1814,57.2,94,0,1.14
231,Vuktyl,RU,2021-04-01 04:32:46,63.8567,57.3094,32.43,95,100,8.37
232,Samarai,PG,2021-04-01 04:32:46,-10.6167,150.6667,85.33,69,73,12.35
233,Sosnovo,RU,2021-04-01 04:32:47,60.5514,30.2144,32.0,85,14,6.98
234,Tuensang,IN,2021-04-01 04:32:47,26.2833,94.8333,82.06,29,14,4.63
235,Oranjestad,AW,2021-04-01 04:32:47,12.524,-70.027,79.0,83,40,16.11
236,Warin Chamrap,TH,2021-04-01 04:32:27,15.1932,104.8628,96.01,46,20,6.91
237,Sterling,US,2021-04-01 04:32:48,39.0062,-77.4286,53.6,82,90,17.27
238,Adrar,MR,2021-04-01 04:32:48,20.5022,-10.0711,78.4,9,100,4.05
239,Pangai,TO,2021-04-01 04:32:49,-19.8,-174.35,84.2,79,20,13.8
240,Pathein,MM,2021-04-01 04:32:49,16.7833,94.7333,97.52,28,50,7.14
241,Sioux Lookout,CA,2021-04-01 04:32:49,50.1001,-91.917,12.2,73,1,3.44
242,Kruisfontein,ZA,2021-04-01 04:32:50,-34.0033,24.7314,63.0,79,100,5.44
243,Lompoc,US,2021-04-01 04:32:50,34.6391,-120.4579,60.01,67,0,3.44
244,Santa Isabel Do Rio Negro,BR,2021-04-01 04:32:50,-0.4139,-65.0192,72.81,98,100,0.38
245,Hervey Bay,AU,2021-04-01 04:32:51,-25.2986,152.8535,78.01,63,18,10.0
246,Altamira,BR,2021-04-01 04:32:51,-3.2033,-52.2064,71.29,99,100,2.46
247,Pokhara,NP,2021-04-01 04:32:51,28.2333,83.9833,80.91,27,12,9.42
248,Norman Wells,CA,2021-04-01 04:30:22,65.282,-126.8329,12.2,85,90,3.13
249,Bambous Virieux,MU,2021-04-01 04:29:34,-20.3428,57.7575,80.01,94,75,5.75
250,Ferkessedougou,CI,2021-04-01 04:32:52,9.6,-5.2,77.02,39,61,2.1
251,Kosonsoy,UZ,2021-04-01 04:32:52,41.2561,71.5508,46.4,57,96,25.32
252,Wanaka,NZ,2021-04-01 04:30:34,-44.7,169.15,66.22,45,80,1.95
253,Grand-Santi,GF,2021-04-01 04:30:19,4.25,-54.3833,69.93,99,69,2.15
254,Henties Bay,NA,2021-04-01 04:32:53,-22.116,14.2845,68.92,77,77,7.23
255,Kununurra,AU,2021-04-01 04:32:53,-15.7667,128.7333,93.2,31,100,19.57
256,Victoria,HK,2021-04-01 04:31:54,22.2855,114.1577,82.0,79,85,1.99
257,Lahij,YE,2021-04-01 04:32:53,13.1667,44.5833,81.41,24,28,3.47
258,Tamandare,BR,2021-04-01 04:32:54,-8.7597,-35.1047,77.58,86,87,5.73
259,Bilma,NE,2021-04-01 04:32:54,18.6853,12.9164,64.62,13,0,13.67
260,Alofi,NU,2021-04-01 04:32:54,-19.0595,-169.9187,84.2,74,3,14.97
261,Sharan,RU,2021-04-01 04:32:55,54.8167,54.0,34.54,92,100,23.62
262,Makakilo City,US,2021-04-01 04:32:55,21.3469,-158.0858,78.8,61,40,10.36
263,Cockburn Town,TC,2021-04-01 04:28:47,21.4612,-71.1419,77.18,73,0,24.32
264,Salina Cruz,MX,2021-04-01 04:32:56,16.1667,-95.2,85.64,55,10,23.22
265,Galesong,ID,2021-04-01 04:32:56,-5.3166,119.3661,77.0,100,40,9.22
266,Muti,PH,2021-04-01 04:32:56,7.2758,122.28,84.2,84,75,8.05
267,Leshukonskoye,RU,2021-04-01 04:32:57,64.8989,45.7622,32.54,95,98,5.35
268,Banyo,CM,2021-04-01 04:32:57,6.75,11.8167,64.89,27,45,1.88
269,Rio Grande,BR,2021-04-01 04:32:57,-32.035,-52.0986,65.68,76,24,10.69
270,Eureka,US,2021-04-01 04:32:58,40.8021,-124.1637,54.0,60,0,4.5
271,Caravelas,BR,2021-04-01 04:32:58,-17.7125,-39.2481,74.66,94,95,5.61
272,Cantanhede,BR,2021-04-01 04:32:58,-3.6333,-44.3767,73.04,98,100,2.15
273,Iaciara,BR,2021-04-01 04:32:59,-14.0958,-46.6317,70.14,67,16,2.04
274,Santa Lucia,ES,2021-04-01 04:32:59,27.9117,-15.5407,66.2,82,40,4.61
275,Dunedin,NZ,2021-04-01 04:32:11,-45.8742,170.5036,59.0,71,61,13.0
276,Oussouye,SN,2021-04-01 04:32:59,12.485,-16.5469,71.6,88,0,11.5
277,Severo-Kurilsk,RU,2021-04-01 04:29:54,50.6789,156.125,38.44,98,100,18.16
278,Padang,ID,2021-04-01 04:33:00,-0.9492,100.3543,86.0,58,75,4.61
279,Maldonado,UY,2021-04-01 04:33:00,-34.6667,-54.9167,59.0,94,20,3.44
280,Rehoboth,NA,2021-04-01 04:33:01,-23.3167,17.0833,65.1,68,81,3.83
281,San Bartolome,ES,2021-04-01 04:33:01,27.9248,-15.5733,66.2,82,40,4.61
282,Cherlak,RU,2021-04-01 04:33:01,54.155,74.8055,19.47,86,23,11.01
283,Airai,TL,2021-04-01 04:33:02,-8.9266,125.4092,62.26,96,100,1.74
284,Ngorongoro,TZ,2021-04-01 04:33:02,-3.2397,35.4875,53.74,95,86,5.03
285,Avarua,CK,2021-04-01 04:29:22,-21.2078,-159.775,82.4,69,40,5.75
286,Akdepe,TM,2021-04-01 04:33:02,42.0551,59.3788,39.2,52,0,18.41
287,Fortuna,US,2021-04-01 04:33:03,40.5982,-124.1573,53.6,50,1,8.05
288,Carnarvon,AU,2021-04-01 04:33:03,-24.8667,113.6333,95.0,29,0,20.71
289,Innisfail,AU,2021-04-01 04:33:03,-17.5333,146.0333,77.83,76,77,15.9
290,Waitati,NZ,2021-04-01 04:33:03,-45.75,170.5667,59.0,74,56,21.99
291,Biak,ID,2021-04-01 04:33:04,-0.9131,122.8766,84.87,66,96,0.43
292,Saurimo,AO,2021-04-01 04:33:04,-9.6608,20.3916,62.85,97,100,2.71
293,Erzin,TR,2021-04-01 04:30:55,36.9559,36.2,53.01,93,59,4.0
